key_pleasant	key_unpleasant	trial_num	stim	trial_type	hand	trial_dur	iti_dur	display_trial_feedback	start_time	end_time
4	3	0	unpleasant6.jpg	1	left	1.6	0.4	True	0.0	2.0
4	3	1	unpleasant22.jpg	1	left	1.6	0.4	True	2.0	4.0
4	3	2	unpleasant11.jpg	1	left	1.6	0.4	True	4.0	6.0
4	3	3	pleasant22.jpg	2	left	1.6	0.4	True	6.0	8.0
4	3	4	pleasant20.jpg	2	left	1.6	0.4	True	8.0	10.0
4	3	5	unpleasant8.jpg	1	left	1.6	0.4	True	10.0	12.0
4	3	6	unpleasant20.jpg	1	left	1.6	0.4	True	12.0	14.0
4	3	7	pleasant16.jpg	2	left	1.6	0.4	True	14.0	16.0
4	3	8	unpleasant13.jpg	1	left	1.6	0.4	True	16.0	18.0
4	3	9	pleasant7.jpg	2	left	1.6	0.4	True	18.0	20.0
4	3	10	pleasant17.jpg	2	left	1.6	0.4	True	20.0	22.0
4	3	11	pleasant2.jpg	2	left	1.6	0.4	True	22.0	24.0
4	3	12	unpleasant26.jpg	1	left	1.6	0.4	True	24.0	26.0
4	3	13	pleasant10.jpg	2	left	1.6	0.4	True	26.0	28.0
4	3	14	unpleasant9.jpg	1	left	1.6	0.4	True	28.0	30.0
